epithet_species,critfield,problem,notes
herrerae,NO,NO,"According to Gimno db this species is in Sinaloa Durango Jalisco Michoacan Guerrero. More or less. 'https://www.conifers.org/pi/Pinus_herrerae.php'"
hwangshanensis,NO,NO,"In Anhui Fujian C Guangxi Guizhou S Henan Hubei Hunan Jiangsu Jiangxi SE Yunnan Zhejiang. More or less. 'https://www.conifers.org/pi/Pinus_hwangshanensis.php'"
johannis,NO,NO,"In  Coahuila Nuevo León and Zacatecas. More or less. 'https://www.conifers.org/pi/Pinus_johannis.php'"
juarezensis,NO,NO, "Fit with gimno map 'https://www.conifers.org/pi/Pinus_quadrifolia.php'"
kwangtungensis,NO,YES,"According to gimnosperm database this species occur at several location of China and Vietnam. I think the map for this species has very few cells to cover all of this localities. 'https://www.conifers.org/pi/Pinus_kwangtungensis.php'; BIANCA: true these locations are missing. And for me it is not so clear how the range maps of P.fenzeliana and P.kwangtungensis differ. I could not find a paper showing this. I suggest to use the same range map as for P.fenzeliana (this is stated like this in the Critchfield map). I also realized that the population in Vietnam was not included in the P.fenzeliana-map. I therefore send you also the corrected version of P.fenzeliana; 'https://mail.google.com/mail/u/0/#search/corrected+final+maps/FMfcgxvzKbPwgqQNXlRmnrBMjPpSWNGd'; SOLVED"
latteri,NO,NO,"In Vietnam Laos Kampuchea Thailand and southern Myanmar; also in extreme S China (Hainan Island). More or less. 'https://www.conifers.org/pi/Pinus_latteri.php'"
rzedowskii,NO,NO,"In Mexico: Michoacán: at (1710-)2100-2480 m elevation in the Sierra Madre del Sur District of Coalcomán. Perfect. 'https://www.conifers.org/pi/Pinus_rzedowskii.php'"
longaeva,NO,NO,"Very close to GM DB map 'https://www.conifers.org/pi/Pinus_longaeva.php'"
maestrensis,NO,NO,"Se distribuye al este de Cuba: en la Sierra Maestra y al este de la Sierra de Nipe en las tierras altas de terminación de la parte oriental de la isla. 'https://www.ecured.cu/Pino_cubano#Distribuci.C3.B3n'"
maximinoi,NO,YES,"Missing areas in Honduras and Nicaragua? These areas are included in the range according to gimnosperm database: https://www.conifers.org/pi/Pinus_maximinoi.php; SOLVED"
praetermissa,NO,NO,"In Mexico (Durango Jalisco Nayarit Sinaloa). PERfect: 'http://www.iucnredlist.org/details/42402/0'"
remota,NO,NO,"In Texas on the Edwards Plateau and in the extreme W along the Rio Grande; and Mexico: Chihuahua Coahuila & extreme W Nuevo León. More or less. https://www.conifers.org/pi/Pinus_remota.php"
squamata,NO,YES, "In China: Qiaojia Xian, N Yunnan. Perfect: 'https://www.conifers.org/pi/Pinus_squamata.php'; DONE; There is now two areas: because it is based on both, BRAHMS and Critchfield there are 2 pixels now"
yecorensis,NO,NO,"Perfect respecto to the map of GM DB:'https://www.conifers.org/pi/Pinus_yecorensis.php'"
jaliscana,NO,NO, "new species"
tecunumanii,NO,NO, "new species"
